9.69E-01,-2.11E-01,1
-8.18E-01,6.46E-01,0
2.33E-01,1.13E+00,0
8.67E-01,-4.86E-01,1
1.02E+00,2.08E-01,0
8.58E-01,-5.47E-01,1
-2.91E-01,7.72E-01,0
1.24E-01,1.41E-01,1
8.71E-02,8.72E-01,1
-1.10E+00,-1.49E-01,0
1.71E+00,3.71E-01,1
-1.99E-01,7.79E-01,0
-1.16E+00,-2.56E-01,0
-5.56E-01,8.20E-01,0
-7.48E-01,4.21E-02,0
-2.16E-01,8.61E-01,0
-4.60E-01,7.05E-01,1
1.41E-01,-2.44E-01,1
-8.81E-02,9.21E-01,0
5.23E-01,6.35E-01,0
1.47E+00,-3.57E-01,1
-1.16E+00,2.81E-01,0
2.90E-01,4.80E-01,0
9.14E-01,2.36E-01,0
1.40E+00,-8.57E-02,1
1.70E-01,7.76E-01,0
-3.76E-01,8.75E-01,0
6.18E-01,-3.25E-01,1
3.06E-01,-7.56E-02,1
7.21E-01,9.85E-01,0
1.74E+00,1.23E-02,1
2.50E-01,-1.04E-01,1
4.91E-01,1.03E+00,0
1.61E+00,-2.01E-01,1
1.62E+00,-2.97E-01,1
-7.33E-01,3.08E-01,0
8.16E-01,6.82E-01,0
-5.90E-02,2.17E-01,1
-8.55E-01,3.86E-01,0
4.09E-01,2.82E-01,1
1.09E+00,-3.72E-01,1
1.40E+00,3.61E-02,0
2.25E+00,3.20E-01,1
-7.43E-01,6.27E-01,0
9.95E-01,3.52E-01,0
-7.76E-01,7.06E-01,0
1.21E+00,-8.91E-01,1
2.17E+00,2.52E-01,1
1.20E+00,-6.88E-02,1
1.13E+00,-5.03E-01,1
-8.92E-01,1.50E-01,0
1.87E+00,-7.66E-02,1
-3.56E-01,6.43E-01,0
1.17E-01,1.46E-01,1
1.21E+00,-2.71E-01,1
1.88E+00,-2.31E-01,1
9.12E-01,-2.36E-01,1
1.83E+00,2.63E-01,1
-5.91E-01,1.22E+00,0
1.91E+00,5.13E-01,1
1.36E-02,1.34E-01,1
4.34E-01,7.97E-01,0
4.15E-01,-5.77E-01,1
2.18E-01,-1.86E-01,1
-9.55E-01,4.17E-01,0
-6.89E-03,5.40E-02,1
7.55E-01,-4.62E-02,1
1.62E+00,-8.92E-02,1
-4.97E-01,5.97E-01,0
8.47E-01,7.35E-01,0
9.34E-01,-1.33E-01,1
3.36E-01,1.23E-01,1
5.85E-01,8.36E-01,0
8.76E-01,6.88E-01,0
-8.98E-01,4.25E-01,0
8.35E-01,-1.94E-01,0
2.29E+00,1.12E-01,1
6.68E-01,-4.52E-01,1
6.13E-01,2.83E-02,0
-1.29E+00,8.90E-02,0
9.37E-01,-5.17E-01,1
3.76E-01,-3.42E-01,1
1.01E+00,4.17E-01,0
7.51E-01,-6.40E-01,1
1.28E+00,-1.80E-01,1
8.04E-01,-3.38E-01,1
1.47E+00,-3.26E-01,1
-2.59E-01,6.26E-01,0
5.80E-01,-1.60E-01,0
1.23E+00,-1.02E+00,1
1.72E+00,-4.11E-01,1
8.04E-02,9.35E-01,0
1.83E+00,4.61E-01,1
7.76E-01,1.64E-01,0
1.13E+00,-3.24E-01,1
1.98E+00,-2.88E-03,1
-1.71E-01,1.06E+00,0
3.50E-01,-2.23E-02,0
1.65E+00,-4.41E-02,1
5.08E-01,5.97E-01,0
2.57E-01,9.73E-01,0
7.37E-01,2.51E-01,0
-5.50E-01,5.91E-01,0
1.57E+00,3.37E-01,1
6.68E-01,-4.97E-01,1
1.04E+00,-2.06E-01,0
-5.89E-02,4.80E-01,0
7.03E-01,1.05E+00,0
-9.02E-01,5.71E-01,0
1.25E-01,5.01E-01,1
-9.52E-02,1.02E+00,0
7.56E-01,8.94E-01,0
-9.03E-01,2.90E-02,0
2.35E-01,1.11E+00,0
1.44E+00,-2.93E-01,1
-8.93E-01,5.88E-01,0
1.30E+00,-4.11E-01,1
-6.87E-01,3.95E-01,0
6.03E-01,1.06E+00,0
1.73E+00,9.48E-02,1
7.98E-01,5.12E-01,0
1.43E+00,-1.64E-01,1
1.13E+00,7.60E-01,0
2.34E-01,9.52E-01,0
1.98E+00,-1.36E-01,1
-5.22E-01,4.02E-01,0
1.76E+00,-5.02E-02,1
6.56E-01,-4.55E-01,1
1.48E-01,4.35E-01,1
-2.75E-01,1.27E-01,1
9.29E-01,-1.87E-01,1
2.11E+00,3.71E-01,1
-9.98E-01,3.20E-01,0
2.55E-01,3.59E-01,1
4.14E-01,1.20E+00,0
1.51E-02,3.07E-01,1
2.23E+00,-5.52E-04,1
2.10E+00,1.91E-01,1
-2.22E-01,7.14E-01,0
-6.54E-01,6.90E-01,0
8.23E-02,-1.21E-01,1
-9.98E-01,-1.43E-01,0
6.87E-02,1.73E-01,1
1.90E-01,9.59E-01,0
6.86E-01,6.07E-01,0
8.63E-01,1.82E-01,0
8.65E-01,-6.59E-01,1
-9.52E-01,5.83E-01,0
1.34E+00,-5.46E-01,1
-1.54E-01,7.51E-01,0
